"setting","version","epoch","time"
2,1,54,721.799999999999
2,1,55,708.77
2,1,56,706.380000000001
2,2,43,545.670000000002
2,2,44,556.119999999999
2,2,45,553.09
2,2,46,538.82
2,3,42,329.900000000001
2,3,41,344.23
2,2,47,565.760000000002
2,2,48,537.75
2,1,57,686.189999999999
2,1,58,691.890000000003
2,2,51,512.849999999999
2,2,50,529.73
2,2,52,538.98
2,2,49,578.18
2,1,59,713.869999999999
2,2,53,536.82
2,1,60,715.09
2,2,54,571.349999999999
2,2,55,545.200000000001
2,3,43,317.07
2,3,44,355.789999999997
2,3,45,347.870000000003
2,3,46,333.66
3,1,42,352.370000000003
2,3,47,335.610000000001
2,2,56,549.389999999999
2,3,48,327.299999999999
3,1,41,375
2,3,51,331.810000000001
2,3,50,332.139999999999
2,3,52,348.459999999999
2,3,53,326.07
2,3,49,389.190000000002
2,2,57,536.599999999999
2,2,58,545.41
2,3,54,358.259999999998
2,3,55,353.890000000003
3,1,43,354.810000000001
2,2,59,567.150000000001
3,1,44,384.880000000001
2,2,60,550.32
3,1,45,368.190000000002
3,1,46,372.84
2,3,56,346.77
3,1,48,361.519999999997
3,1,47,392.690000000002
3,1,51,362.110000000001
3,1,50,378.57
3,1,52,384.98
3,1,53,368.549999999999
3,2,42,580.130000000001
2,3,58,306.139999999999
2,3,57,343.140000000003
3,2,41,590.209999999999
3,1,49,391.889999999999
3,1,55,369.799999999999
3,1,54,379.27
2,3,59,344.849999999999
2,3,60,334.709999999999
3,1,56,367.150000000001
3,2,43,595.030000000002
3,2,44,601.43
3,2,45,595.59
3,2,46,614.880000000001
3,2,48,585.73
3,1,58,366.029999999999
3,1,57,375.82
3,2,47,627.920000000002
3,2,51,590.77
3,2,50,610.639999999999
3,1,59,358.360000000001
3,2,53,581.93
3,2,52,617.970000000001
3,1,60,384.610000000001
3,2,49,637.010000000002
3,2,55,594.91
3,2,54,618.630000000001
3,2,56,593.959999999999
3,3,42,1100.16
3,2,58,575.91
3,3,41,1122.46
3,2,57,592.190000000002
3,2,59,575.529999999999
3,2,60,619.48
3,3,43,1101.47
3,3,45,1127.8
3,3,44,1139.28
3,3,48,1109.61
3,3,46,1140.97
3,3,51,1099.16
3,3,47,1176.26
3,3,50,1149.57
3,3,53,1117.4
3,3,52,1147.69
3,3,55,1157.27
3,3,49,1195.64
