"setting","version","epoch","Y_0","Y"
5,1,33,0.13919349548,0.02570939484
5,1,37,0.13555242098,0.01571930282
5,1,31,0.13492243262,0.01701564936
5,1,39,0.13172705129,0.01968640866
5,1,35,0.13259979804,0.02173987522
5,1,38,0.14076442323,0.02170324476
5,1,40,0.13754471037,0.01964193992
5,2,21,0.13494774134,0.01667716718
5,2,24,0.133689169,0.0203440531
5,2,23,0.13909381932,0.01744095688
5,2,29,0.13945061595,0.01437242898
5,2,25,0.13422178326,0.01909399632
5,2,30,0.14096540106,0.02020735578
5,2,36,0.13652569717,0.02280028516
5,2,34,0.13518993294,0.02549279582
5,2,27,0.13555916111,0.02124109474
5,2,22,0.13668817606,0.01742976006
5,2,28,0.13815371883,0.01609915314
5,2,32,0.13572626939,0.01648315246
5,2,37,0.13567945898,0.01802565622
5,2,33,0.13942771973,0.02086313588
5,2,26,0.13868876968,0.01659002862
5,2,31,0.13550444603,0.01559403998
5,2,39,0.13153091087,0.01870787442
5,2,35,0.13243432486,0.02070509436
5,2,40,0.13743534882,0.01722937898
5,2,38,0.14045773062,0.01827747468
5,3,24,0.13355871937,0.01288676656
1,1,41,NA,NA
1,2,41,NA,NA
1,3,41,NA,NA
5,3,21,0.13516460906,0.01088451914
1,1,42,NA,NA
1,2,42,NA,NA
1,3,42,NA,NA
5,3,23,0.13864510986,0.0110301328
5,3,29,0.13906955473,0.0123531288
1,1,43,NA,NA
1,1,44,NA,NA
1,2,43,NA,NA
1,3,43,NA,NA
1,2,44,NA,NA
1,3,44,NA,NA
5,3,25,0.13449949379,0.01381981564
1,1,45,NA,NA
1,2,45,NA,NA
1,3,45,NA,NA
5,3,36,0.13647532069,0.01471247414
1,1,46,NA,NA
1,2,46,NA,NA
1,3,46,NA,NA
5,3,30,0.14092305684,0.01141426108
1,1,47,NA,NA
1,2,47,NA,NA
1,3,47,NA,NA
5,3,34,0.13514183008,0.01662435278
1,1,48,NA,NA
1,2,48,NA,NA
1,3,48,NA,NA
5,3,27,0.13586841738,0.0150241009
1,1,49,NA,NA
5,3,37,0.13559044703,0.01479570246
1,2,49,NA,NA
1,3,49,NA,NA
1,1,50,NA,NA
1,2,50,NA,NA
5,3,32,0.13521932316,0.01079863888
1,3,50,NA,NA
1,1,51,NA,NA
1,2,51,NA,NA
1,3,51,NA,NA
5,3,28,0.13807455706,0.01129092712
1,1,52,NA,NA
1,2,52,NA,NA
1,3,52,NA,NA
5,3,22,0.13656360712,0.01140026966
5,3,33,0.13908789589,0.0149555755
1,1,53,NA,NA
1,1,54,NA,NA
1,2,54,NA,NA
1,2,53,NA,NA
1,3,54,NA,NA
1,3,53,NA,NA
5,3,26,0.13880716052,0.01269453234
1,1,55,NA,NA
1,2,55,NA,NA
1,3,55,NA,NA
2,1,42,0.13714215288,0.065947242206235
2,1,41,0.13322950277,0.0517441860465116
5,3,31,0.13507050247,0.01193844458
1,1,56,NA,NA
1,2,56,NA,NA
1,3,56,NA,NA
2,1,44,0.13798797448,0.0535294117647059
2,1,43,0.14601490046,0.0470588235294118
2,1,45,0.14005755419,0.0620608899297424
5,3,39,0.13151298376,0.01226934506
1,1,57,NA,NA
1,2,57,NA,NA
1,3,57,NA,NA
5,3,40,0.13701396488,0.01457480728
1,1,58,NA,NA
1,2,58,NA,NA
1,3,58,NA,NA
2,1,46,0.14518670078,0.0632458233890215
2,1,47,0.14018500191,0.0641176470588235
5,3,35,0.13251086083,0.01365873626
1,1,59,NA,NA
1,2,59,NA,NA
1,3,59,NA,NA
2,1,48,0.13886414857,0.0697115384615385
5,3,38,0.14063183483,0.01305611708
1,1,60,NA,NA
1,2,60,NA,NA
